1 1 x0i 
2 1 x1 
3 1 x1i 
02 2 x0 x1 
03 2 x0 x1i 
11 2 x0i x0i 
12 2 x0i x1 
13 2 x0i x1i 
20 2 x1 x0 
21 2 x1 x0i 
22 2 x1 x1 
30 2 x1i x0 
31 2 x1i x0i 
33 2 x1i x1i 
002 3 x0 x0 x1 
003 3 x0 x0 x1i 
020 3 x0 x1 x0 
021 3 x0 x1 x0i 
022 3 x0 x1 x1 
030 3 x0 x1i x0 
031 3 x0 x1i x0i 
033 3 x0 x1i x1i 
111 3 x0i x0i x0i 
112 3 x0i x0i x1 
113 3 x0i x0i x1i 
120 3 x0i x1 x0 
121 3 x0i x1 x0i 
122 3 x0i x1 x1 
130 3 x0i x1i x0 
131 3 x0i x1i x0i 
133 3 x0i x1i x1i 
200 3 x1 x0 x0 
202 3 x1 x0 x1 
203 3 x1 x0 x1i 
211 3 x1 x0i x0i 
212 3 x1 x0i x1 
213 3 x1 x0i x1i 
220 3 x1 x1 x0 
221 3 x1 x1 x0i 
222 3 x1 x1 x1 
300 3 x1i x0 x0 
302 3 x1i x0 x1 
303 3 x1i x0 x1i 
311 3 x1i x0i x0i 
312 3 x1i x0i x1 
313 3 x1i x0i x1i 
330 3 x1i x1i x0 
331 3 x1i x1i x0i 
333 3 x1i x1i x1i 
0002 4 x0 x0 x0 x1 
0003 4 x0 x0 x0 x1i 
0020 4 x0 x0 x1 x0 
0021 4 x0 x0 x1 x0i 
0022 4 x0 x0 x1 x1 
0030 4 x0 x0 x1i x0 
0033 4 x0 x0 x1i x1i 
0200 4 x0 x1 x0 x0 
0202 4 x0 x1 x0 x1 
0203 4 x0 x1 x0 x1i 
0212 4 x0 x1 x0i x1 
0213 4 x0 x1 x0i x1i 
0220 4 x0 x1 x1 x0 
0221 4 x0 x1 x1 x0i 
0222 4 x0 x1 x1 x1 
0300 4 x0 x1i x0 x0 
0302 4 x0 x1i x0 x1 
0303 4 x0 x1i x0 x1i 
0311 4 x0 x1i x0i x0i 
0312 4 x0 x1i x0i x1 
0313 4 x0 x1i x0i x1i 
0330 4 x0 x1i x1i x0 
0331 4 x0 x1i x1i x0i 
0333 4 x0 x1i x1i x1i 
1111 4 x0i x0i x0i x0i 
1112 4 x0i x0i x0i x1 
1113 4 x0i x0i x0i x1i 
1120 4 x0i x0i x1 x0 
1121 4 x0i x0i x1 x0i 
1122 4 x0i x0i x1 x1 
1130 4 x0i x0i x1i x0 
1131 4 x0i x0i x1i x0i 
1133 4 x0i x0i x1i x1i 
1200 4 x0i x1 x0 x0 
1202 4 x0i x1 x0 x1 
1203 4 x0i x1 x0 x1i 
1211 4 x0i x1 x0i x0i 
1212 4 x0i x1 x0i x1 
1213 4 x0i x1 x0i x1i 
1220 4 x0i x1 x1 x0 
1221 4 x0i x1 x1 x0i 
1222 4 x0i x1 x1 x1 
1300 4 x0i x1i x0 x0 
1302 4 x0i x1i x0 x1 
1303 4 x0i x1i x0 x1i 
1311 4 x0i x1i x0i x0i 
1312 4 x0i x1i x0i x1 
1313 4 x0i x1i x0i x1i 
1330 4 x0i x1i x1i x0 
1331 4 x0i x1i x1i x0i 
1333 4 x0i x1i x1i x1i 
2000 4 x1 x0 x0 x0 
2002 4 x1 x0 x0 x1 
2003 4 x1 x0 x0 x1i 
2020 4 x1 x0 x1 x0 
2021 4 x1 x0 x1 x0i 
2022 4 x1 x0 x1 x1 
2030 4 x1 x0 x1i x0 
2031 4 x1 x0 x1i x0i 
2033 4 x1 x0 x1i x1i 
2111 4 x1 x0i x0i x0i 
2112 4 x1 x0i x0i x1 
2113 4 x1 x0i x0i x1i 
